duration_hr,year,depth_mm,window_completeness,end_time
1,1969,44.5,1.0,1969-12-14 17:00:00
1,1970,37.0,1.0,1970-08-08 20:00:00
1,1971,41.0,1.0,1971-05-28 17:00:00
1,1972,30.0,1.0,1972-09-16 23:00:00
1,1973,40.5,1.0,1973-09-27 04:00:00
1,1974,52.4,1.0,1974-07-28 20:00:00
1,1975,59.6,1.0,1975-10-22 00:00:00
1,1976,22.1,1.0,1976-08-23 18:00:00
1,1977,42.2,1.0,1977-04-23 21:00:00
1,1978,35.5,1.0,1978-05-21 21:00:00
1,1979,59.5,1.0,1979-09-12 23:00:00
1,1980,48.2,1.0,1980-09-20 22:00:00
1,1981,41.7,1.0,1981-07-21 18:00:00
1,1982,37.3,1.0,1982-09-14 21:00:00
1,1983,37.0,1.0,1983-09-05 20:00:00
1,1984,60.2,1.0,1984-09-26 00:00:00
1,1986,65.2,1.0,1986-09-24 21:00:00
1,1987,47.0,1.0,1987-08-04 18:00:00
1,1988,148.8,1.0,1988-09-11 08:00:00
1,1989,41.7,1.0,1989-09-03 21:00:00
1,1990,40.9,1.0,1990-05-25 00:00:00
1,1991,41.1,1.0,1991-09-12 22:00:00
1,1992,31.4,1.0,1992-10-05 16:00:00
1,1993,34.3,1.0,1993-05-26 21:00:00
1,1994,23.2,1.0,1994-10-10 00:00:00
1,1995,44.2,1.0,1995-06-04 19:00:00
1,1996,57.0,1.0,1996-06-08 21:00:00
1,1997,50.0,1.0,1997-10-01 00:00:00
1,1998,72.1,1.0,1998-07-17 23:00:00
1,1999,59.3,1.0,1999-10-01 02:00:00
1,2000,62.3,1.0,2000-08-02 02:00:00
1,2001,192.0,1.0,2001-07-14 10:00:00
1,2003,53.2,1.0,2003-10-12 04:00:00
3,1969,77.6,1.0,1969-11-24 00:00:00
3,1970,52.0,1.0,1970-07-14 19:00:00
3,1971,63.5,1.0,1971-05-28 19:00:00
3,1972,44.5,1.0,1972-09-17 00:00:00
3,1973,55.4,1.0,1973-09-27 05:00:00
3,1974,65.7,1.0,1974-07-28 21:00:00
3,1975,94.6,1.0,1975-10-22 02:00:00
3,1976,44.800000000000004,1.0,1976-08-23 20:00:00
3,1977,47.2,1.0,1977-04-23 23:00:00
3,1978,40.5,1.0,1978-10-18 02:00:00
3,1979,122.9,1.0,1979-09-13 00:00:00
3,1980,60.0,1.0,1980-10-01 22:00:00
3,1981,64.5,1.0,1981-07-21 19:00:00
3,1982,46.50000000000001,1.0,1982-09-14 22:00:00
3,1983,65.9,1.0,1983-09-05 21:00:00
3,1984,75.10000000000002,1.0,1984-09-26 01:00:00
3,1986,77.50000000000001,1.0,1986-09-24 23:00:00
3,1987,60.40000000000001,1.0,1987-10-08 20:00:00
3,1988,261.8,1.0,1988-09-11 08:00:00
3,1989,47.9,1.0,1989-09-17 02:00:00
3,1990,72.5,1.0,1990-05-25 02:00:00
3,1991,50.3,1.0,1991-05-09 16:00:00
3,1992,65.4,1.0,1992-10-05 18:00:00
3,1993,43.6,1.0,1993-09-05 19:00:00
3,1994,38.699999999999996,1.0,1994-10-10 00:00:00
3,1995,64.39999999999999,1.0,1995-08-23 23:00:00
3,1996,81.99999999999999,1.0,1996-08-11 19:00:00
3,1997,86.19999999999999,1.0,1997-10-01 06:00:00
3,1998,104.39999999999998,1.0,1998-07-18 00:00:00
3,1999,67.29999999999998,1.0,1999-07-05 21:00:00
3,2000,82.69999999999999,1.0,2000-08-02 03:00:00
3,2001,213.99999999999997,1.0,2001-07-14 11:00:00
3,2003,93.99999999999997,1.0,2003-10-12 05:00:00
6,1969,104.1,1.0,1969-11-24 03:00:00
6,1970,62.5,1.0,1970-07-14 22:00:00
6,1971,81.4,1.0,1971-05-28 21:00:00
6,1972,53.900000000000006,1.0,1972-09-17 03:00:00
6,1973,55.5,1.0,1973-09-27 06:00:00
6,1974,83.2,1.0,1974-09-26 01:00:00
6,1975,95.10000000000001,1.0,1975-10-22 03:00:00
6,1976,61.6,1.0,1976-08-23 23:00:00
6,1977,47.50000000000001,1.0,1977-04-23 23:00:00
6,1978,52.10000000000001,1.0,1978-09-29 21:00:00
6,1979,132.5,1.0,1979-09-13 03:00:00
6,1980,82.00000000000001,1.0,1980-09-21 03:00:00
6,1981,64.50000000000001,1.0,1981-07-21 19:00:00
6,1982,50.50000000000002,1.0,1982-09-15 01:00:00
6,1983,70.50000000000001,1.0,1983-09-05 23:00:00
6,1984,76.60000000000002,1.0,1984-09-26 03:00:00
6,1986,97.9,1.0,1986-11-01 13:00:00
6,1987,64.80000000000001,1.0,1987-10-08 23:00:00
6,1988,377.6,1.0,1988-09-11 10:00:00
6,1989,51.7,1.0,1989-09-03 21:00:00
6,1990,79.69999999999999,1.0,1990-05-25 01:00:00
6,1991,63.6,1.0,1991-11-16 00:00:00
6,1992,76.0,1.0,1992-10-05 20:00:00
6,1993,52.8,1.0,1993-12-04 21:00:00
6,1994,41.9,1.0,1994-09-28 01:00:00
6,1995,71.99999999999999,1.0,1995-08-24 02:00:00
6,1996,85.79999999999998,1.0,1996-08-11 22:00:00
6,1997,145.89999999999998,1.0,1997-10-01 05:00:00
6,1998,111.89999999999999,1.0,1998-07-18 03:00:00
6,1999,82.29999999999998,1.0,1999-07-05 23:00:00
6,2000,84.29999999999998,1.0,2000-08-02 05:00:00
6,2001,215.89999999999998,1.0,2001-07-14 11:00:00
6,2003,106.09999999999997,1.0,2003-10-12 07:00:00
12,1969,112.3,1.0,1969-11-24 04:00:00
12,1970,69.6,1.0,1970-07-15 01:00:00
12,1971,86.9,1.0,1971-08-21 02:00:00
12,1972,57.800000000000004,1.0,1972-10-06 00:00:00
12,1973,72.4,1.0,1973-09-16 05:00:00
12,1974,93.4,1.0,1974-09-26 06:00:00
12,1975,95.10000000000001,1.0,1975-10-22 03:00:00
12,1976,64.5,1.0,1976-08-24 04:00:00
12,1977,60.0,1.0,1977-10-05 07:00:00
12,1978,54.199999999999996,1.0,1978-09-30 00:00:00
12,1979,135.6,1.0,1979-09-13 04:00:00
12,1980,86.8,1.0,1980-09-21 04:00:00
12,1981,65.1,1.0,1981-07-22 00:00:00
12,1982,76.2,1.0,1982-09-15 07:00:00
12,1983,72.0,1.0,1983-09-06 03:00:00
12,1984,121.9,1.0,1984-09-26 02:00:00
12,1986,103.9,1.0,1986-11-01 13:00:00
12,1987,65.6,1.0,1987-10-09 00:00:00
12,1988,432.8,1.0,1988-09-11 13:00:00
12,1989,53.699999999999996,1.0,1989-09-04 03:00:00
12,1990,81.5,1.0,1990-05-25 02:00:00
12,1991,93.2,1.0,1991-11-16 02:00:00
12,1992,81.60000000000001,1.0,1992-10-06 01:00:00
12,1993,68.8,1.0,1993-08-28 06:00:00
12,1994,43.400000000000006,1.0,1994-09-28 04:00:00
12,1995,72.2,1.0,1995-08-24 03:00:00
12,1996,86.5,1.0,1996-08-12 00:00:00
12,1997,182.3,1.0,1997-10-01 10:00:00
12,1998,120.5,1.0,1998-07-18 04:00:00
12,1999,90.7,1.0,1999-09-24 01:00:00
12,2000,84.3,1.0,2000-08-02 05:00:00
12,2001,217.8,1.0,2001-07-14 11:00:00
12,2003,106.2,1.0,2003-10-12 07:00:00
24,1969,115.9,1.0,1969-11-24 19:00:00
24,1970,92.7,1.0,1970-10-05 01:00:00
24,1971,98.7,1.0,1971-10-11 03:00:00
24,1972,65.2,1.0,1972-10-06 17:00:00
24,1973,89.8,1.0,1973-09-28 03:00:00
24,1974,152.5,1.0,1974-09-26 14:00:00
24,1975,95.3,1.0,1975-10-22 03:00:00
24,1976,71.69999999999999,1.0,1976-08-24 17:00:00
24,1977,61.9,1.0,1977-04-24 14:00:00
24,1978,57.50000000000001,1.0,1978-09-29 22:00:00
24,1979,135.6,1.0,1979-09-13 04:00:00
24,1980,89.10000000000001,1.0,1980-09-21 19:00:00
24,1981,68.5,1.0,1981-07-22 16:00:00
24,1982,77.2,1.0,1982-09-15 08:00:00
24,1983,75.2,1.0,1983-09-06 18:00:00
24,1984,122.4,1.0,1984-09-26 00:00:00
24,1986,104.2,0.5833333333333334,1986-11-02 02:00:00
24,1987,67.5,1.0,1987-08-05 16:00:00
24,1988,448.7,0.5833333333333334,1988-09-12 02:00:00
24,1989,78.1,1.0,1989-09-17 21:00:00
24,1990,81.6,1.0,1990-05-25 02:00:00
24,1991,147.0,1.0,1991-10-29 21:00:00
24,1992,83.1,1.0,1992-10-06 13:00:00
24,1993,70.5,1.0,1993-08-28 07:00:00
24,1994,50.800000000000004,1.0,1994-09-28 03:00:00
24,1995,72.4,1.0,1995-08-24 15:00:00
24,1996,90.4,1.0,1996-08-12 16:00:00
24,1997,191.3,1.0,1997-10-01 22:00:00
24,1998,120.5,1.0,1998-07-18 04:00:00
24,1999,90.89999999999999,1.0,1999-09-24 15:00:00
24,2000,97.2,1.0,2000-08-02 02:00:00
24,2001,220.70000000000002,1.0,2001-07-14 15:00:00
24,2003,106.8,1.0,2003-10-12 07:00:00
48,1969,166.8,1.0,1969-11-24 19:00:00
48,1970,155.2,1.0,1970-10-06 01:00:00
48,1971,141.5,1.0,1971-08-21 03:00:00
48,1972,89.4,1.0,1972-10-06 20:00:00
48,1973,107.8,1.0,1973-09-17 01:00:00
48,1974,158.6,1.0,1974-09-27 03:00:00
48,1975,103.39999999999999,1.0,1975-07-23 15:00:00
48,1976,94.89999999999999,1.0,1976-08-25 16:00:00
48,1977,61.89999999999999,1.0,1977-04-24 14:00:00
48,1978,62.2,1.0,1978-10-01 00:00:00
48,1979,161.6,1.0,1979-09-14 21:00:00
48,1980,113.7,1.0,1980-09-22 18:00:00
48,1981,74.39999999999999,1.0,1981-09-12 17:00:00
48,1982,84.10000000000001,1.0,1982-09-15 08:00:00
48,1983,121.80000000000001,1.0,1983-09-07 16:00:00
48,1984,150.10000000000002,1.0,1984-09-27 06:00:00
48,1986,124.4,1.0,1986-09-22 22:00:00
48,1987,102.1,1.0,1987-08-05 16:00:00
48,1988,543.7,0.8333333333333334,1988-09-11 13:00:00
48,1989,93.7,1.0,1989-10-08 18:00:00
48,1990,91.6,1.0,1990-05-25 02:00:00
48,1991,199.0,1.0,1991-10-30 22:00:00
48,1992,112.5,1.0,1992-10-07 00:00:00
48,1993,79.89999999999999,1.0,1993-09-06 16:00:00
48,1994,53.39999999999999,1.0,1994-09-28 04:00:00
48,1995,95.49999999999999,1.0,1995-08-24 01:00:00
48,1996,127.99999999999999,1.0,1996-08-13 04:00:00
48,1997,191.89999999999998,1.0,1997-10-02 16:00:00
48,1998,129.6,1.0,1998-07-19 14:00:00
48,1999,90.89999999999998,1.0,1999-09-24 15:00:00
48,2000,129.49999999999997,1.0,2000-08-02 21:00:00
48,2001,230.89999999999998,0.9166666666666666,2001-07-15 23:00:00
48,2003,107.10000000000001,1.0,2003-10-13 16:00:00
72,1969,168.20000000000002,1.0,1969-11-24 19:00:00
72,1970,158.8,1.0,1970-10-06 01:00:00
72,1971,162.70000000000002,1.0,1971-08-21 19:00:00
72,1972,93.40000000000002,1.0,1972-10-08 01:00:00
72,1973,132.9,1.0,1973-09-18 05:00:00
72,1974,163.30000000000004,1.0,1974-09-26 23:00:00
72,1975,114.40000000000002,1.0,1975-11-03 20:00:00
72,1976,95.40000000000002,1.0,1976-08-25 16:00:00
72,1977,75.30000000000001,1.0,1977-10-07 20:00:00
72,1978,78.70000000000002,1.0,1978-09-29 22:00:00
72,1979,164.3,1.0,1979-09-14 22:00:00
72,1980,117.90000000000002,1.0,1980-09-23 02:00:00
72,1981,80.0,1.0,1981-09-13 15:00:00
72,1982,107.7,1.0,1982-09-17 04:00:00
72,1983,126.50000000000001,1.0,1983-09-08 18:00:00
72,1984,173.5,1.0,1984-09-27 21:00:00
72,1986,153.5,1.0,1986-09-24 22:00:00
72,1987,103.9,1.0,1987-08-06 17:00:00
72,1988,560.9,0.8611111111111112,1988-09-12 23:00:00
72,1989,117.39999999999999,1.0,1989-10-08 21:00:00
72,1990,93.6,1.0,1990-05-25 02:00:00
72,1991,230.0,1.0,1991-10-31 11:00:00
72,1992,113.60000000000001,1.0,1992-10-07 17:00:00
72,1993,84.30000000000001,1.0,1993-08-28 07:00:00
72,1994,53.40000000000001,1.0,1994-09-28 04:00:00
72,1995,104.40000000000002,1.0,1995-08-24 02:00:00
72,1996,129.70000000000002,1.0,1996-08-13 04:00:00
72,1997,191.9,1.0,1997-10-02 16:00:00
72,1998,167.50000000000003,1.0,1998-08-04 23:00:00
72,1999,111.60000000000001,1.0,1999-09-26 03:00:00
72,2000,178.3,1.0,2000-08-02 03:00:00
72,2001,252.60000000000002,0.9444444444444444,2001-07-17 00:00:00
72,2003,107.70000000000003,1.0,2003-10-13 16:00:00
